"SEX","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp.estimate","exp.lower.CL","exp.upper.CL","model"
"Male","Low Food Security - Marginally Food Secure",0.125868790307059,0.1024487804265,69,-0.143854540385169,0.395592120999288,1.22860213448184,0.610992995675404,1.13413334923148,0.866013708918411,1.48526338624069,"EPB"
"Male","Very Low Food Secure - Fully Food Secure",-0.115266111304629,0.0761478203501254,69,-0.315745254582714,0.0852130319734562,-1.51371517628001,0.434961867152307,0.891128972857723,0.729245198379732,1.08894902294982,"EPB"
"Male","Very Low Food Secure - Marginally Food Secure",-0.102117992894755,0.0816028283840588,69,-0.316958878008517,0.112722892219007,-1.25140261577874,0.596656246471186,0.902923006883913,0.728360706152629,1.1193217172117,"EPB"
"Male","Very Low Food Secure - Low Food Security",-0.227986783201814,0.0802155516518783,69,-0.439175297840908,-0.0167982685627206,-2.84217684110978,0.0293523789667237,0.796134782118662,0.644567778385784,0.983342035629606,"EPB"
"Female","Marginally Food Secure - Fully Food Secure",-0.236749190233647,0.0981625563129786,69,-0.495187909833587,0.0216895293662937,-2.41180750711914,0.0842835354550086,0.789189199556248,0.609456373689892,1.02192645705784,"EPB"
"Female","Low Food Security - Fully Food Secure",-0.244530522850468,0.0959954018273849,69,-0.497263638893728,0.00820259319279329,-2.54731495671191,0.0614951994878261,0.78307208640839,0.608192619443599,1.00823632663115,"EPB"
"Female","Low Food Security - Marginally Food Secure",-0.00778133261682079,0.113653457294592,69,-0.307003918952802,0.29144125371916,-0.0684654281712824,0.99988369504306,0.992248863578851,0.735647717932919,1.33835500780184,"EPB"
"Female","Very Low Food Secure - Fully Food Secure",-0.509077001470149,0.104786201869249,69,-0.78495420821776,-0.233199794722537,-4.85824461989154,4.16409449068844e-05,0.601050091216392,0.456140588797922,0.791995321230398,"EPB"
"Female","Very Low Food Secure - Marginally Food Secure",-0.272327811236502,0.131321183955287,69,-0.61806532982296,0.0734097073499556,-2.07375385321858,0.171967777738905,0.761604557632511,0.538986190053765,1.07617136192071,"EPB"
"Female","Very Low Food Secure - Low Food Security",-0.264546478619681,0.112202719859656,69,-0.559949617508051,0.0308566602686891,-2.35775459766553,0.0951420421051852,0.767553973189297,0.571237843509865,1.03133766162763,"EPB"
