"SEX","contrast","estimate","lower.CL","upper.CL","percent","percent_low","percent_high","SE","p.value","t.ratio","model"
"Female","FOODSEC3 - FOODSEC2",-0.0344621787270393,-0.244786884343848,0.175862526889769,-3.38751209317304,-21.7128637391081,19.2274141749331,0.0806342546633389,0.973673539054172,-0.427388817208326,"MZP"
"Female","FOODSEC4 - FOODSEC1",0.0596866115119554,-0.153138421880771,0.272511644904681,6.15038313327689,-14.1989053897876,31.3258751596431,0.0815928299578288,0.88424083466674,0.731517849580709,"MZP"
"Female","FOODSEC4 - FOODSEC2",0.104899044682888,-0.158289920526025,0.368088009891802,11.0598483873795,-14.6397730728213,44.496920496125,0.10090134672006,0.726581346344448,1.0396198672543,"MZP"
"Female","FOODSEC4 - FOODSEC3",0.139361223409928,-0.0722708485817427,0.350993295401598,14.9539265508674,-6.9721103033887,42.0477802147067,0.0811354725915881,0.31946981901584,1.71763618252932,"MZP"
"Male","FOODSEC2 - FOODSEC1",0.0420832569475198,-0.159583628205922,0.243750142100962,4.29813105762755,-14.7501328519157,27.6025465613702,0.0773150207291928,0.947896295321805,0.54430893959044,"MHP"
"Male","FOODSEC3 - FOODSEC1",0.0336591796646286,-0.0885402167451116,0.155858576074369,3.42320593365555,-8.47336990357172,16.8660914787983,0.0468487865983815,0.889563626192811,0.718464278555967,"MHP"
"Male","FOODSEC3 - FOODSEC2",-0.00842407728289121,-0.223628638550292,0.20678048398451,-0.838869417025878,-20.0387975680233,22.9712600540062,0.0825050930039714,0.999616642515496,-0.102103724463237,"MHP"
"Male","FOODSEC4 - FOODSEC1",0.0429407688207927,-0.100087423119199,0.185968960760784,4.38760630092858,-9.52416822158475,20.4384876607158,0.0548341271611627,0.861979450503447,0.78310298793643,"MHP"
"Male","FOODSEC4 - FOODSEC2",0.000857511873272883,-0.231039013074996,0.232754036821542,0.0857879641693593,-20.6291499578037,26.2071018148754,0.088904455581597,0.99999967554357,0.00964531943492813,"MHP"
"Male","FOODSEC4 - FOODSEC3",0.00928158915616409,-0.156298597936073,0.174861776248401,0.932479667949671,-14.4696239700071,19.1081569470555,0.0634801077412358,0.998879004453362,0.146212561484594,"MHP"
"Female","FOODSEC2 - FOODSEC1",0.0152692196349773,-0.182457186298657,0.212995625568611,1.53863897750344,-16.6779683589531,23.7379238401181,0.0758043203862456,0.997090510398198,0.2014294113736,"MHP"
"Female","FOODSEC3 - FOODSEC1",-0.0876098720918941,-0.239178604097851,0.0639588599140631,-8.38817897031454,-21.272574059372,6.60485405307754,0.0581083981538257,0.43637613641849,-1.50769724988755,"MHP"
"Female","FOODSEC3 - FOODSEC2",-0.102879091726871,-0.34490267507985,0.139144491626108,-9.77639453096997,-29.171071568856,14.9290150809601,0.0927869657413099,0.684915507931299,-1.10876663446133,"MHP"
"Female","FOODSEC4 - FOODSEC1",-0.0066009232095946,-0.215590881741907,0.202389035322718,-0.657918497309407,-19.3934989663056,22.4324220841931,0.0801225395226624,0.999798331944227,-0.0823853468564555,"MHP"
"Female","FOODSEC4 - FOODSEC2",-0.0218701428445719,-0.269306224761865,0.225565939072722,-2.16327252062096,-23.6090708113716,25.3031655137817,0.0948620086437591,0.995658586092493,-0.230546908686091,"MHP"
"Female","FOODSEC4 - FOODSEC3",0.0810089488822995,-0.156143509215322,0.318161406979921,8.43806005177024,-14.4563581447399,37.4598113052896,0.0909194744583167,0.809537015193051,0.890996668919804,"MHP"
"Male","FOODSEC2 - FOODSEC1",0.0400073420168853,-0.0997148247805984,0.179729508814369,4.08184158707194,-9.49045079584226,19.6893570171345,0.0535666637289301,0.877818249195978,0.74687014706272,"MHH"
"Male","FOODSEC3 - FOODSEC1",0.060757019266788,-0.0478435430016366,0.169357581535213,6.26406816037375,-4.67170768047399,18.4543634133643,0.0416352675680821,0.465546147836948,1.45926813529991,"MHH"
"Male","FOODSEC3 - FOODSEC2",0.0207496772499027,-0.137294201174102,0.178793555673907,2.09664485180754,-12.8286270799501,19.5773857956367,0.0605908388339354,0.986115703023933,0.342455685533129,"MHH"
"Male","FOODSEC4 - FOODSEC1",0.178295838554924,-0.00508274010852752,0.361674417218376,19.5178848922203,-0.506984484203554,43.5731416427124,0.0703036524805109,0.0598883867885807,2.53608215596409,"MHH"
"Male","FOODSEC4 - FOODSEC2",0.138288496538039,-0.0971150587435452,0.373692051819623,14.8306785023928,-9.25484101133737,45.3089605250161,0.0902489803542777,0.42182346875838,1.53229982206092,"MHH"
