SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
21519,1,10,3,NA,3.26
21520,2,54,1,4,0.1
21521,1,34,3,3,4.62
21522,2,47,3,3,5
21523,2,15,1,NA,1.9
21524,1,1,4,NA,1.59
21525,1,16,1,NA,NA
21526,2,0,1,NA,1.86
21527,2,35,1,4,0.84
21528,1,65,3,3,5
21529,1,17,4,NA,2.39
21530,2,85,3,2,1.89
21531,2,67,3,3,NA
21532,1,13,1,NA,0.59
21533,2,40,3,5,2.48
21534,1,31,1,4,1.44
21535,1,0,3,NA,4.77
21536,2,13,1,NA,0.81
21537,2,83,3,3,0.94
21538,1,63,1,4,1.11
21539,2,14,1,NA,1.6
21540,2,13,3,NA,3.71
21541,2,61,3,3,3.32
21542,1,58,4,5,2.37
21543,1,40,3,5,1.15
21544,1,49,5,4,0.83
21545,1,2,4,NA,1.49
21546,2,2,1,NA,5
21547,1,21,1,3,NA
21548,1,17,4,NA,0.39
21549,1,6,4,NA,1.36
21550,1,6,1,NA,0.83
21551,2,38,3,4,0.67
21552,2,71,4,4,0.68
21553,1,36,1,4,5
21554,1,71,5,5,5
21555,1,1,3,NA,0.67
21556,1,75,1,1,0.82
21557,2,85,3,4,2.58
21558,1,68,1,2,0.83
21559,1,33,4,3,1.38
21560,2,4,4,NA,1.82
21561,2,75,3,1,1.07
21562,2,66,2,1,0.8
21563,2,18,1,NA,1.6
21564,1,17,4,NA,0.53
21565,2,15,4,NA,5
21566,2,50,3,4,3.6
21567,2,14,3,NA,2.46
21568,2,43,3,4,5
21569,1,19,3,NA,0.72
21570,1,8,1,NA,1.36
21571,1,46,3,3,5
21572,2,0,2,NA,0.16
21573,2,13,1,NA,1.84
21574,2,83,3,1,3.76
21575,2,7,1,NA,1.6
21576,2,48,5,2,1.29
21577,1,81,3,4,5
21578,2,3,4,NA,0.1
21579,1,10,3,NA,0.89
21580,1,13,1,NA,0.74
21581,2,2,1,NA,1.34
21582,2,77,3,3,2.67
21583,1,43,4,5,1.62
21584,1,0,1,NA,0.57
21585,1,14,4,NA,1.61
21586,2,75,4,4,2.87
21587,1,0,1,NA,0.59
21588,2,20,3,4,0.86
21589,1,56,1,4,4.9
21590,1,2,1,NA,1.41
21591,1,36,4,1,2.23
21592,1,53,3,4,3.26
21593,1,42,3,2,3.19
21594,1,3,3,NA,5
21595,1,7,3,NA,1.24
21596,1,7,1,NA,0.08
21597,2,5,3,NA,5
21598,2,55,3,5,5
21599,1,17,1,NA,1.98
21600,2,6,1,NA,0.81
21601,1,3,4,NA,0.33
21602,2,0,1,NA,1.46
21603,1,48,3,5,5
21604,1,9,2,NA,1.39
21605,1,78,3,2,0.82
21606,2,6,5,NA,1.39
21607,1,39,4,3,0.76
21608,1,12,3,NA,1.21
21609,1,1,1,NA,0
21610,1,75,5,4,NA
21611,2,45,4,3,2.56
21612,2,0,1,NA,3.04
21613,1,23,1,5,4.12
21614,1,50,4,4,0.64
21615,1,13,1,NA,3.1
21616,2,7,1,NA,0.89
21617,2,10,5,NA,2.23
21618,1,43,4,1,0.18
21619,2,81,3,3,2.97
21620,1,66,3,3,3.34
21621,2,48,3,3,1.78
21622,2,19,4,NA,0.43
21623,2,85,3,1,2.58
