SEQN,FSDHH
32247,1
32248,1
32249,1
32250,1
32251,1
32252,1
32253,1
32254,1
32255,4
32256,1
32257,3
32258,3
32259,1
32260,1
32261,1
32262,1
32263,1
32264,1
32265,1
32266,1
32267,1
32268,1
32269,1
32270,1
32271,1
32272,NA
32273,3
32274,4
32275,3
32276,1
32277,3
32278,1
32279,1
32280,1
32281,1
32282,2
32283,1
32284,1
32285,1
32286,1
32287,1
32288,1
32289,1
32290,1
32291,3
32292,4
32293,1
32294,1
32295,2
32296,1
32297,1
32298,2
32299,1
32300,1
32301,1
32302,1
32303,1
32304,3
32305,3
32306,1
32307,1
32308,NA
32309,1
32310,2
32311,1
32312,1
32313,1
32314,1
32315,4
32316,1
32317,3
32318,4
32319,2
32320,1
32321,1
32322,1
32323,1
32324,1
32325,1
32326,3
32327,1
32328,1
32329,1
32330,1
32331,1
32332,3
32333,2
32334,2
32335,3
32336,1
32337,4
32338,1
32339,1
32340,1
32341,1
32342,1
32343,1
32344,3
32345,1
32346,1
32347,1
32348,3
32349,1
32350,1
32351,1
32352,1
32353,3
32354,3
32355,3
32356,1
32357,1
32358,1
32359,1
32360,1
32361,3
32362,3
32363,1
32364,1
32365,1
32366,4
32367,4
32368,1
32369,1
32370,1
32371,1
32372,1
32373,1
32374,2
32375,1
32376,3
32377,1
32378,1
32379,1
32380,1
32381,1
32382,1
32383,1
32384,1
32385,1
32386,1
32387,1
32388,1
32389,3
32390,3
32391,2
32392,1
32393,2
32394,3
32395,3
32396,2
32397,3
32398,3
32399,1
32400,1
32401,1
32402,1
32403,1
32404,1
32405,1
32406,1
32407,1
32408,2
32409,3
32410,1
32411,1
32412,2
32413,1
32414,1
32415,1
32416,1
32417,1
32418,1
32419,3
32420,1
32421,1
32422,1
32423,1
32424,1
32425,2
32426,1
32427,3
32428,1
32429,1
32430,1
32431,1
32432,1
32433,1
32434,1
32435,1
32436,1
32437,1
32438,1
32439,1
32440,1
32441,4
32442,1
32443,1
32444,1
32445,1
32446,3
32447,1
32448,1
32449,1
32450,3
32451,3
32452,1
32453,1
32454,1
32455,1
32456,2
32457,1
32458,1
32459,1
32460,2
32461,1
32462,3
32463,1
32464,1
32465,3
32466,1
32467,NA
32468,1
32469,4
32470,1
